img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[61.222354888916016, 35.40992736816406, 267.5032958984375, 188.64259338378906];graspable handle on the screwdriver;[213, 116, 254.85, 186];0.09267936312387184
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[180.8658447265625, 366.1861267089844, 226.91845703125, 401.1526184082031];button to press with index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[331.5112609863281, 169.19583129882812, 342.8016662597656, 182.2720947265625];button to press with index finger on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[27.60370445251465, 126.4177017211914, 99.33049011230469, 144.8281707763672];graspable handle on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0, 0, 0, 0];button to press with index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[326.2466735839844, 157.96636962890625, 455.5970764160156, 284.3455810546875];graspable handle on the wrench;[329, 158.75, 592.12, 410];0.23889682371907223
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[585.1405639648438, 21.954702377319336, 617.743896484375, 59.68791580200195];button to press with index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[298.4858703613281, 42.723976135253906, 485.1399230957031, 187.56051635742188];graspable handle on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[116.47504425048828, 66.95854949951172, 551.9249267578125, 587.5875854492188];button to press with index finger on the circular saw;[511, 506, 549, 600];0.013647040844895084
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[819.9944458007812, 730.809814453125, 1086.585205078125, 971.5264282226562];graspable handle on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[269.8735046386719, 109.912353515625, 799.6360473632812, 312.082275390625];graspable handle on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.11091007679361453
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[359.8315124511719, 48.541770935058594, 382.90594482421875, 82.36395263671875];button to press with index finger on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[142.91116333007812, 93.37879180908203, 167.27005004882812, 116.25409698486328];button to press with index finger on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[514.9212646484375, 110.21623992919922, 593.7239990234375, 645.75048828125];graspable handle on the screwdriver;[532, 108, 686, 505];0.30856067725488395
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[572.1627807617188, 158.19566345214844, 621.4288940429688, 222.23529052734375];button to press with index finger on the drill;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[358.1819152832031, 368.8505554199219, 367.8597412109375, 380.6971740722656];button to press with index finger on the nail gun;[317, 209.62, 335.85, 235];0.0
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[75.83081817626953, 49.37310791015625, 84.23856353759766, 61.80037307739258];button to press with index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[208.00186157226562, 375.4066162109375, 235.86004638671875, 397.2750549316406];button to press with index finger on the drill;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[226.1652374267578, 111.91519165039062, 264.1747131347656, 146.57540893554688];button to press with index finger on the nail gun;[227, 183.37, 252, 206];0.0
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[686.7652587890625, 441.45147705078125, 709.5516967773438, 464.90484619140625];button to press with index finger on the nail gun;[530, 314.75, 561.88, 361];0.0
