img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[155.66552734375, 35.29636764526367, 268.5447692871094, 131.02899169921875];place for hand to wrap around on the screwdriver;[213, 116, 254.85, 186];0.04798769273361664
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[131.3812255859375, 258.6607666015625, 409.6573486328125, 433.9916687011719];place to press with index finger pad on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];place to press with index finger pad on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[0, 0, 0, 0];place for hand to wrap around on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[245.3074951171875, 180.55169677734375, 443.6924743652344, 254.21258544921875];place to press with index finger pad on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[325.44580078125, 158.45419311523438, 456.3774108886719, 286.2268371582031];place for hand to wrap around on the wrench;[329, 158.75, 592.12, 410];0.2438062570174211
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[256.0609436035156, 1.4355181455612183, 1142.06689453125, 798.32470703125];place to press with index finger pad on the circular saw;[543, 686, 609.4300000000001, 716];0.0028226103738352615
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[107.92179870605469, 5.646779537200928, 501.4209289550781, 297.1184387207031];place for hand to wrap around on the solder iron;[364, 212.24, 419.89, 284];0.03496845381412833
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0, 0, 0, 0];place to press with index finger pad on the circular saw;[511, 506, 549, 600];0.0
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[256.6550598144531, 192.10958862304688, 1104.83447265625, 1003.0545654296875];place for hand to wrap around on the screwdriver;[864, 251, 1064, 426];0.050884900466116045
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[268.686767578125, 106.5743408203125, 444.4038391113281, 313.8941650390625];place for hand to wrap around on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.26259321158347165
