img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.77294158935547, 34.73814392089844, 268.57208251953125, 190.3942413330078];handle to grasp with four fingers on the screwdriver;[213, 116, 254.85, 186];0.08970644765883794
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[117.22555541992188, 102.13232421875, 439.4501647949219, 716.941162109375];trigger to press with index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.006591600770637181
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];trigger to press with index finger on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[53.30049133300781, 32.030696868896484, 242.53585815429688, 147.2146759033203];handle to grasp with four fingers on the solder iron;[123, 65, 221, 83];0.08092900432050486
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[236.41998291015625, 102.8574447631836, 664.5029907226562, 261.7496643066406];trigger to press with index finger on the weed wacker;[311, 136.86, 333.86, 149];0.0040800387864599495
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[323.0553283691406, 159.0409698486328, 455.3742370605469, 285.13494873046875];handle to grasp with four fingers on the wrench;[329, 158.75, 592.12, 410];0.23833967866843667
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0, 0, 0, 0];trigger to press with index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[106.98786926269531, 87.15640258789062, 221.0596923828125, 193.22079467773438];handle to grasp with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[101.47215270996094, 60.46949005126953, 1080.837158203125, 1131.45263671875];trigger to press with index finger on the circular saw;[511, 506, 549, 600];0.0034055262461303707
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[817.7382202148438, 729.352783203125, 1086.863037109375, 973.9636840820312];handle to grasp with four fingers on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[268.9446105957031, 105.884521484375, 798.7492065429688, 316.3232421875];handle to grasp with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.11283603357930329
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[221.49472045898438, 19.052366256713867, 604.0, 340.0];trigger to press with index finger on the glue gun;[331, 142.06, 343.19, 178];0.0035687010315530693
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[43.74408721923828, 32.99448013305664, 176.03285217285156, 144.1559600830078];trigger to press with index finger on the drill;[114, 82.51, 125.62, 89];0.005128301414734263
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[520.9241943359375, 643.6884765625, 695.3215942382812, 1141.508544921875];handle to grasp with four fingers on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[22.574384689331055, 26.842144012451172, 1180.306884765625, 581.9378051757812];trigger to press with index finger on the drill;[524, 379.37, 635.88, 435];0.009684684113450711
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[39.85695266723633, 20.843441009521484, 498.355224609375, 464.5347900390625];trigger to press with index finger on the nail gun;[317, 209.62, 335.85, 235];0.002351712935976887
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[61.09439468383789, 29.51289939880371, 150.9733428955078, 84.90338897705078];trigger to press with index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[27.355262756347656, 55.07453918457031, 687.8265991210938, 645.8102416992188];trigger to press with index finger on the drill;[283, 395, 316.89, 440];0.00390874095094565
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[39.73814392089844, 11.165388107299805, 432.5516052246094, 319.9080810546875];trigger to press with index finger on the nail gun;[227, 183.37, 252, 206];0.004664891129906004
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[277.2844543457031, 37.110015869140625, 826.418701171875, 627.7288818359375];trigger to press with index finger on the nail gun;[530, 314.75, 561.88, 361];0.0045461546464027
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[72.44939422607422, 60.64132308959961, 1149.337890625, 1061.568115234375];trigger to press with index finger on the nail gun;[589, 424, 610, 509];0.0016560184399590431
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[0.019866943359375, 118.13175964355469, 599.9136352539062, 319.45269775390625];handle to grasp with four fingers on the solder iron;[192, 89.18, 330.13, 167];0.054100783383574415
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[3.366718292236328, 103.14141845703125, 391.8205261230469, 262.6744384765625];handle to grasp with four fingers on the wrench;[176, 111.59000000000003, 360.7, 206];0.28138110023778945
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[45.08415985107422, 84.57522583007812, 330.54754638671875, 346.98248291015625];handle to grasp with four fingers on the screwdriver;[181, 68, 309.34000000000003, 195];0.18396739957638453
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[17.31822395324707, 284.9202575683594, 114.05552673339844, 378.0034484863281];handle to grasp with four fingers on the wrench;[118, 119, 313.33000000000004, 285];0.0
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[205.66171264648438, 70.59599304199219, 383.1510314941406, 243.43057250976562];handle to grasp with four fingers on the hammer;[437, 105, 626, 307];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[98.6590347290039, 89.88599395751953, 1209.273681640625, 805.4541015625];handle to grasp with four fingers on the screwdriver;[169, 252.16000000000008, 559, 523];0.13291164689669932
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[0, 0, 0, 0];handle to grasp with four fingers on the allen key;[184, 478, 1170, 569];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[492.93353271484375, 37.4251594543457, 590.86767578125, 362.0018005371094];handle to grasp with four fingers on the screwdriver;[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[82.50523376464844, 23.413928985595703, 203.02548217773438, 161.0321502685547];handle to grasp with four fingers on the screwdriver;[93, 99.84, 125.82, 135];0.0695747227974097
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[59.58821487426758, 689.6674194335938, 327.7998352050781, 882.7531127929688];handle to grasp with four fingers on the wrench;[306, 500, 691, 797];0.014285303111988721
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[0, 0, 0, 0];trigger to press with index finger on the circular saw;[678, 554, 742, 580];0.0
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[48.053409576416016, 52.23211669921875, 256.1361999511719, 581.00830078125];handle to grasp with four fingers on the hammer;[129, 244, 195, 558];0.18834996077910626
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[798.7449951171875, 182.60658264160156, 1910.1563720703125, 1114.915771484375];handle to grasp with four fingers on the allen key;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[0, 0, 0, 0];trigger to press with index finger on the glue gun;[110, 70.9, 137.34, 97];0.0
