img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[54.406803131103516, 39.894596099853516, 264.53436279296875, 189.755615234375];handle to grasp with four fingers on the screwdriver;[213, 116, 254.85, 186];0.09302973927695035
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[750.0, 244.2273712158203, 750.0, 977.0551147460938];trigger to press with index finger on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[78.38417053222656, 56.39701843261719, 538.592041015625, 534.4585571289062];trigger to press with index finger on the circular saw;[410, 318.82, 425.45, 347];0.001978935438479481
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[58.85493850708008, 32.213287353515625, 239.0103759765625, 151.57252502441406];handle to grasp with four fingers on the solder iron;[123, 65, 221, 83];0.08203424205773613
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[189.17005920410156, 101.64411163330078, 674.4588623046875, 276.2764892578125];trigger to press with index finger on the weed wacker;[311, 136.86, 333.86, 149];0.003274687595607311
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[324.422607421875, 158.96237182617188, 455.5794982910156, 284.40472412109375];handle to grasp with four fingers on the wrench;[329, 158.75, 592.12, 410];0.23811775819781436
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[317.3235778808594, 1.6319273710250854, 1098.0252685546875, 710.3226928710938];trigger to press with index finger on the circular saw;[543, 686, 609.4300000000001, 716];0.0029183547071298574
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[118.87892150878906, 13.806427955627441, 500.5422668457031, 299.1426696777344];handle to grasp with four fingers on the solder iron;[364, 212.24, 419.89, 284];0.0368280861447462
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[201.6757354736328, 232.86817932128906, 1089.472900390625, 1121.043701171875];trigger to press with index finger on the circular saw;[511, 506, 549, 600];0.004530007244686729
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[166.6907196044922, 168.37696838378906, 1063.4632568359375, 1047.5244140625];handle to grasp with four fingers on the screwdriver;[864, 251, 1064, 426];0.04426955912575896
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[272.7078857421875, 110.61788177490234, 442.6690979003906, 312.6745910644531];handle to grasp with four fingers on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.2648171244462466
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[216.5780792236328, 20.289052963256836, 598.129638671875, 330.8074035644531];trigger to press with index finger on the glue gun;[331, 142.06, 343.19, 178];0.003697781751244203
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[0.26955604553222656, 5.687282085418701, 172.97750854492188, 152.6902313232422];trigger to press with index finger on the drill;[114, 82.51, 125.62, 89];0.002970382937097742
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[330.90966796875, 109.02828979492188, 1181.354736328125, 997.8536987304688];handle to grasp with four fingers on the screwdriver;[532, 108, 686, 505];0.0806549783192771
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[49.02405548095703, 24.62233543395996, 942.43408203125, 558.8377075195312];trigger to press with index finger on the drill;[524, 379.37, 635.88, 435];0.01304050214062581
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[38.847267150878906, 39.030033111572266, 452.6231689453125, 455.0267639160156];trigger to press with index finger on the nail gun;[317, 209.62, 335.85, 235];0.0027793795693969513
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[33.17595291137695, 180.0, 170.04771423339844, 180.0];trigger to press with index finger on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[98.30241394042969, 36.90777587890625, 628.7188110351562, 531.5036010742188];trigger to press with index finger on the drill;[283, 395, 316.89, 440];0.005813219144892521
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[66.84587860107422, 10.115504264831543, 424.1802062988281, 316.3296203613281];trigger to press with index finger on the nail gun;[227, 183.37, 252, 206];0.005170405634551196
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[272.79443359375, 37.17974853515625, 831.6220703125, 626.8148803710938];trigger to press with index finger on the nail gun;[530, 314.75, 561.88, 361];0.004474750466327762
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[313.3241271972656, 76.12744140625, 1123.68408203125, 973.6317138671875];trigger to press with index finger on the nail gun;[589, 424, 610, 509];0.0024542778294215644
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[85.48357391357422, 3.4476993083953857, 549.266845703125, 322.6623840332031];handle to grasp with four fingers on the solder iron;[192, 89.18, 330.13, 167];0.0726074687227963
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[25.763845443725586, 94.23295593261719, 323.62060546875, 349.0684814453125];handle to grasp with four fingers on the wrench;[176, 111.59000000000003, 360.7, 206];0.17551583784459976
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[46.0000114440918, 83.09673309326172, 328.4609069824219, 344.1372985839844];handle to grasp with four fingers on the screwdriver;[181, 68, 309.34000000000003, 195];0.18979020591635362
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[35.08171844482422, 85.76425170898438, 334.60052490234375, 383.5737609863281];handle to grasp with four fingers on the wrench;[118, 119, 313.33000000000004, 285];0.36350834109535124
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[205.37156677246094, 69.3321304321289, 660.14453125, 518.875244140625];handle to grasp with four fingers on the hammer;[437, 105, 626, 307];0.18674422728361123
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[179.84109497070312, 69.9464340209961, 1152.5152587890625, 815.406982421875];handle to grasp with four fingers on the screwdriver;[169, 252.16000000000008, 559, 523];0.14105449381535298
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[17.239665985107422, 219.06503295898438, 914.1500244140625, 1054.703369140625];handle to grasp with four fingers on the allen key;[184, 478, 1170, 569];0.08598058926054028
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[42.77454376220703, 548.5003051757812, 241.72991943359375, 608.9899291992188];handle to grasp with four fingers on the screwdriver;[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[81.24678802490234, 22.111282348632812, 202.62144470214844, 160.0825653076172];handle to grasp with four fingers on the screwdriver;[93, 99.84, 125.82, 135];0.06890817150387327
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[58.63362121582031, 334.0764465332031, 779.1849975585938, 884.627197265625];handle to grasp with four fingers on the wrench;[306, 500, 691, 797];0.28824041047107896
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[166.0016326904297, 255.6294708251953, 1062.837890625, 944.2565307617188];trigger to press with index finger on the circular saw;[678, 554, 742, 580];0.00269436283598139
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[132.658203125, 53.624267578125, 195.56129455566406, 389.75];handle to grasp with four fingers on the hammer;[129, 244, 195, 558];0.27718215922943107
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[792.9136352539062, 179.67726135253906, 2129.07177734375, 1115.7183837890625];handle to grasp with four fingers on the allen key;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[4.946875095367432, 2.3590240478515625, 196.37095642089844, 175.8060760498047];trigger to press with index finger on the glue gun;[110, 70.9, 137.34, 97];0.021491935241640083
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[231.35684204101562, 100.61309814453125, 400.41802978515625, 851.2079467773438];handle to grasp with four fingers on the solder iron;[140, 559, 222, 856];0.0
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[110.41873931884766, 229.22427368164062, 336.5587463378906, 377.0763244628906];handle to grasp with four fingers on the solder iron;[664, 414, 750.87, 664];0.0
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[928.187255859375, 1855.9498291015625, 1994.09619140625, 2657.037841796875];handle to grasp with four fingers on the solder iron;[1388, 1539, 2438, 1979];0.0600820442535404
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[212.30213928222656, 0.34639835357666016, 582.6424560546875, 300.29156494140625];handle to grasp with four fingers on the allen key;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[55.57902145385742, 22.12446403503418, 512.0703125, 371.7842712402344];trigger to press with index finger on the nail gun;[276, 243, 313.33, 264];0.004911329529308649
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[138.98330688476562, 667.0, 885.7844848632812, 667.0];trigger to press with index finger on the circular saw;[407, 489.34000000000003, 423.67, 551];0.0
