img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.5767936706543, 34.69902038574219, 268.5354919433594, 190.0734100341797];place for hand to wrap around on the screwdriver;[213, 116, 254.85, 186];0.08980079784074199
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[82.98056030273438, 86.30957794189453, 524.8634643554688, 746.482177734375];place to press with index finger pad on the glue gun;[249, 697.8299999999999, 317.33, 717];0.004490232603236444
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[83.58360290527344, 21.79799461364746, 513.10205078125, 536.8590698242188];place to press with index finger pad on the circular saw;[410, 318.82, 425.45, 347];0.0019680173409294555
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[57.28483200073242, 31.84345817565918, 242.58119201660156, 144.15977478027344];place for hand to wrap around on the solder iron;[123, 65, 221, 83];0.08475958864445753
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[40.289344787597656, 136.42123413085938, 109.15513610839844, 320.86053466796875];place to press with index finger pad on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[323.57159423828125, 158.7690887451172, 455.49847412109375, 284.7159118652344];place for hand to wrap around on the wrench;[329, 158.75, 592.12, 410];0.23853066388501398
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.0, 9.84618091583252, 1194.3465576171875, 898.1072998046875];place to press with index finger pad on the circular saw;[543, 686, 609.4300000000001, 716];0.001878514244006929
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[4.455951690673828, 0.4680536985397339, 540.0, 360.0];place for hand to wrap around on the solder iron;[364, 212.24, 419.89, 284];0.02082974036530915
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[106.81090545654297, 59.17739486694336, 1107.1676025390625, 1133.6424560546875];place to press with index finger pad on the circular saw;[511, 506, 549, 600];0.003323259602678563
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[137.43553161621094, 156.6188201904297, 1091.6748046875, 983.8054809570312];place for hand to wrap around on the screwdriver;[864, 251, 1064, 426];0.04434117888587643
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[268.74365234375, 106.5180435180664, 445.0889587402344, 311.9886779785156];place for hand to wrap around on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.25658560841779776
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[226.2720184326172, 18.743898391723633, 604.0, 338.5509338378906];place to press with index finger pad on the glue gun;[331, 142.06, 343.19, 178];0.0036267248399996645
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[1.160585880279541, 1.3344545364379883, 249.84307861328125, 166.49493408203125];place to press with index finger pad on the drill;[114, 82.51, 125.62, 89];0.001836113305221918
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[519.9462280273438, 641.05712890625, 695.4550170898438, 1139.6396484375];place for hand to wrap around on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[24.850156784057617, 29.387937545776367, 1168.28173828125, 578.468017578125];place to press with index finger pad on the drill;[524, 379.37, 635.88, 435];0.009913240582240723
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[37.739967346191406, 18.738779067993164, 508.2555236816406, 464.7015686035156];place to press with index finger pad on the nail gun;[317, 209.62, 335.85, 235];0.002279976455246076
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[41.25664520263672, 26.22830581665039, 171.51885986328125, 119.85932922363281];place to press with index finger pad on the glue gun;[79, 98.27, 92.97, 109];0.012290170282466338
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[31.01816749572754, 53.47710418701172, 696.0673217773438, 662.0657958984375];place to press with index finger pad on the drill;[283, 395, 316.89, 440];0.003767961517810003
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[38.032081604003906, 6.853577613830566, 435.2828369140625, 318.54644775390625];place to press with index finger pad on the nail gun;[227, 183.37, 252, 206];0.004569124195106075
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[291.6494140625, 346.496826171875, 1103.6405029296875, 619.252685546875];place to press with index finger pad on the nail gun;[530, 314.75, 561.88, 361];0.002078145316322221
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[449.53533935546875, 66.37155151367188, 1125.9473876953125, 980.2801513671875];place to press with index finger pad on the nail gun;[589, 424, 610, 509];0.0028875141538107336
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[0.0, 140.39744567871094, 410.3543701171875, 315.1379699707031];place for hand to wrap around on the solder iron;[192, 89.18, 330.13, 167];0.04664383516098343
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[8.420238494873047, 102.66201782226562, 392.6076354980469, 265.9646301269531];place for hand to wrap around on the wrench;[176, 111.59000000000003, 360.7, 206];0.2779384600723599
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[45.46903610229492, 84.82539367675781, 331.5325012207031, 348.40362548828125];place for hand to wrap around on the screwdriver;[181, 68, 309.34000000000003, 195];0.18230924431884732
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[16.45183563232422, 18.10476303100586, 399.0733947753906, 377.8379821777344];place for hand to wrap around on the wrench;[118, 119, 313.33000000000004, 285];0.23557383765177528
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[206.4969482421875, 71.05475616455078, 383.2180480957031, 240.83798217773438];place for hand to wrap around on the hammer;[437, 105, 626, 307];0.0
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[102.0877914428711, 97.5691146850586, 1201.7890625, 803.647216796875];place for hand to wrap around on the screwdriver;[169, 252.16000000000008, 559, 523];0.13603477491972116
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[1.9366835355758667, 180.0742950439453, 1198.2572021484375, 835.797607421875];place for hand to wrap around on the allen key;[184, 478, 1170, 569];0.11438001038546484
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[493.5142822265625, 38.0184211730957, 590.5689697265625, 360.29541015625];place for hand to wrap around on the screwdriver;[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[83.24362182617188, 22.409231185913086, 149.59669494628906, 97.21625518798828];place for hand to wrap around on the screwdriver;[93, 99.84, 125.82, 135];0.0
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[61.1143684387207, 330.91058349609375, 779.4224853515625, 885.5682373046875];place for hand to wrap around on the wrench;[306, 500, 691, 797];0.2869996681384205
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[63.22379684448242, 261.66290283203125, 1147.059326171875, 925.46875];place to press with index finger pad on the circular saw;[678, 554, 742, 580];0.0023128574413951654
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[131.38011169433594, 46.91082000732422, 196.50726318359375, 406.6596984863281];place for hand to wrap around on the hammer;[129, 244, 195, 558];0.30611990302829795
