img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[58.55733871459961, 29.35207748413086, 268.2099304199219, 200.9469451904297];grasping area placement on the screwdriver;[213, 116, 254.85, 186];0.08143085084657221
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[61.9370231628418, 91.64057159423828, 487.2082824707031, 785.6298828125];index finger placement on the glue gun;[249, 697.8299999999999, 317.33, 717];0.004438280220246185
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[410, 318.82, 425.45, 347];0.0
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[45.55611038208008, 10.017123222351074, 226.1775360107422, 158.1685333251953];grasping area placement on the solder iron;[123, 65, 221, 83];0.06592096033840981
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[233.7562255859375, 101.51946258544922, 674.2185668945312, 273.4882507324219];index finger placement on the weed wacker;[311, 136.86, 333.86, 149];0.0036638399934918854
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[146.24656677246094, 104.1878662109375, 696.5595092773438, 664.9432983398438];grasping area placement on the wrench;[329, 158.75, 592.12, 410];0.21422823745345926
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[0.0, 11.091870307922363, 822.7651977539062, 865.3312377929688];index finger placement on the circular saw;[543, 686, 609.4300000000001, 716];0.002835502353434792
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[112.93582916259766, 18.965559005737305, 493.37786865234375, 297.8275451660156];grasping area placement on the solder iron;[364, 212.24, 419.89, 284];0.03780408423652309
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[82.97183227539062, 55.44925308227539, 964.9083251953125, 889.4968872070312];index finger placement on the circular saw;[511, 506, 549, 600];0.00485605148025285
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[813.9257202148438, 725.132080078125, 1085.942138671875, 973.738037109375];grasping area placement on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[0, 0, 0, 0];grasping area placement on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[211.4549560546875, 18.14784049987793, 581.4359130859375, 325.5408020019531];index finger placement on the glue gun;[331, 142.06, 343.19, 178];0.0038521969928197795
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[36.85343933105469, 42.256351470947266, 176.03932189941406, 134.2490692138672];index finger placement on the drill;[114, 82.51, 125.62, 89];0.005889822242978093
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[525.8720092773438, 626.8441162109375, 695.8654174804688, 1137.6021728515625];grasping area placement on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[109.59410858154297, 19.50330924987793, 1002.4440307617188, 573.2262573242188];index finger placement on the drill;[524, 379.37, 635.88, 435];0.012588979608413021
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[40.978309631347656, 43.989017486572266, 434.7381286621094, 436.6868591308594];index finger placement on the nail gun;[317, 209.62, 335.85, 235];0.0030939483633889452
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[59.62614822387695, 29.152374267578125, 159.84490966796875, 83.5964584350586];index finger placement on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[63.95977783203125, 36.86711883544922, 593.8250732421875, 555.5250854492188];index finger placement on the drill;[283, 395, 316.89, 440];0.005549291698289302
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[39.59457778930664, 7.207191467285156, 384.6822509765625, 308.1353759765625];index finger placement on the nail gun;[227, 183.37, 252, 206];0.005447939190359592
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[262.16156005859375, 38.432952880859375, 836.505615234375, 630.0682373046875];index finger placement on the nail gun;[530, 314.75, 561.88, 361];0.0043391418989431225
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[425.1269226074219, 76.3902816772461, 1093.058837890625, 972.5811157226562];index finger placement on the nail gun;[589, 424, 610, 509];0.002981985498620844
21;data/roboflow/solder_10_jpg.rf.fa9d6f121c57717ec26d23a194ec2e93.jpg;[2.2119860649108887, 5.178398132324219, 450.4924621582031, 321.5920715332031];grasping area placement on the solder iron;[192, 89.18, 330.13, 167];0.07578341486922084
22;data/roboflow/wrench_1_jpg.rf.1dca8e4e8d41fe556db62ebb6fce40d9.jpg;[0, 0, 0, 0];grasping area placement on the wrench;[176, 111.59000000000003, 360.7, 206];0.0
23;data/roboflow/screwdriver_4_jpg.rf.3e9089aafa51caaccba91397ff711ccc.jpg;[41.538360595703125, 58.70992660522461, 331.86962890625, 350.52716064453125];grasping area placement on the screwdriver;[181, 68, 309.34000000000003, 195];0.19238048171864763
24;data/roboflow/wrench_8_jpg.rf.84a4a4861e86f1c1176767964d453fcf.jpg;[97.65872192382812, 28.673572540283203, 393.74517822265625, 310.09539794921875];grasping area placement on the wrench;[118, 119, 313.33000000000004, 285];0.3891353815909305
25;data/roboflow/hammer_14_jpg.rf.9f9e774553b5d79ab6a80096d9e248e7.jpg;[199.79046630859375, 70.55596160888672, 664.697509765625, 521.5213623046875];grasping area placement on the hammer;[437, 105, 626, 307];0.18209743349176769
26;data/roboflow/screwdriver_16_jpg.rf.7ecda12851ea53649db62e4c1ec00d34.jpg;[94.39265441894531, 372.6648864746094, 664.2976684570312, 794.8917846679688];grasping area placement on the screwdriver;[169, 252.16000000000008, 559, 523];0.20384341941919099
27;data/roboflow/allen_1_jpg.rf.5b9dbe6b90dbb311d50ce0bf7cdd94af.jpg;[0, 0, 0, 0];grasping area placement on the allen key;[184, 478, 1170, 569];0.0
28;data/roboflow/screwdriver_12_jpg.rf.fb58d324f595dce4a1561b146bf1e823.jpg;[492.8276672363281, 37.33115768432617, 591.8424682617188, 361.01904296875];grasping area placement on the screwdriver;[500, 420.22, 588.89, 658];0.0
29;data/roboflow/screwdriver_11_jpg.rf.86ab0bb274d61307b1c8c456a1da45eb.jpg;[82.03395080566406, 21.720623016357422, 203.65821838378906, 156.857177734375];grasping area placement on the screwdriver;[93, 99.84, 125.82, 135];0.07020925467438383
30;data/roboflow/wrench_16_jpg.rf.703192c2275ab50e76511cd07c5f0fa9.jpg;[55.70586013793945, 330.20819091796875, 787.5463256835938, 869.5767822265625];grasping area placement on the wrench;[306, 500, 691, 797];0.2896777287967784
31;data/roboflow/saw_0_jpg.rf.e6961a1c0a9f05470005a80d79862f58.jpg;[26.554983139038086, 287.5521240234375, 890.0385131835938, 916.3546142578125];index finger placement on the circular saw;[678, 554, 742, 580];0.0030646791286236303
32;data/roboflow/hammer_8_jpg.rf.53462f20f1fa485c80c9518436da3e42.jpg;[43.571311950683594, 176.040283203125, 261.9297790527344, 579.6937255859375];grasping area placement on the hammer;[129, 244, 195, 558];0.23512287648132554
33;data/roboflow/allen_11_jpg.rf.a6c767081f97c455a64eb5ba085342fa.jpg;[805.7467651367188, 174.96969604492188, 1928.4454345703125, 1100.9342041015625];grasping area placement on the allen key;[805, 2696.5, 1862.5, 3069];0.0
34;data/roboflow/glue_10_jpg.rf.ae54febb95813097775309389f29c77e.jpg;[55.08389663696289, 23.74698829650879, 206.51748657226562, 172.79275512695312];index finger placement on the glue gun;[110, 70.9, 137.34, 97];0.031615288829472135
35;data/roboflow/solder_7_jpg.rf.3fa9b0142c7c519b08f9b792668d0360.jpg;[230.34597778320312, 130.6166534423828, 406.5050048828125, 889.5440673828125];grasping area placement on the solder iron;[140, 559, 222, 856];0.0
36;data/roboflow/solder_12_jpg.rf.141cf71e923c9580c70f71e929b811fa.jpg;[80.07466125488281, 29.761865615844727, 756.4066162109375, 377.69537353515625];grasping area placement on the solder iron;[664, 414, 750.87, 664];0.0
37;data/roboflow/solder_0_jpg.rf.d748f8da95299784b7e2496fd1026295.jpg;[908.3444213867188, 1825.4393310546875, 2738.98193359375, 2669.32861328125];grasping area placement on the solder iron;[1388, 1539, 2438, 1979];0.08736305034594519
38;data/roboflow/allen_2_jpg.rf.7a42d727fb9820c4dd80dde675364208.jpg;[20.961984634399414, 5.54196834564209, 648.9312133789062, 709.1198120117188];grasping area placement on the allen key;[217, 894.34, 581.1700000000001, 986];0.0
39;data/roboflow/nail_16_jpg.rf.643dc073f89e2c1d30be10cd1f3078c3.jpg;[63.972618103027344, 3.9937331676483154, 507.92059326171875, 375.7424621582031];index finger placement on the nail gun;[276, 243, 313.33, 264];0.0047500230030703815
40;data/roboflow/saw_14_jpg.rf.bf77b5a93a3a0d5749379e266d44cb5e.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[407, 489.34000000000003, 423.67, 551];0.0
41;data/roboflow/glue_3_jpg.rf.1357ae167c4ec9c85e80bd5e17b03c64.jpg;[147.92404174804688, 213.51986694335938, 612.8134765625, 789.1141357421875];index finger placement on the glue gun;[290, 543, 424.15999999999997, 593];0.025068417355437266
42;data/roboflow/solder_5_jpg.rf.8386acfec94c47292d320319ceffefe5.jpg;[340.4759826660156, 528.9288940429688, 548.7180786132812, 658.3234252929688];grasping area placement on the solder iron;[341, 207.87, 381.63, 421];0.0
43;data/roboflow/hammer_5_jpg.rf.111cf96c55a3c37f56afe7dc3f6224ee.jpg;[125.98114013671875, 148.02276611328125, 601.2836303710938, 446.58270263671875];grasping area placement on the hammer;[308, 115, 411, 594];0.19160923037354569
44;data/roboflow/saw_16_jpg.rf.08cb5bb3f895e6ddf476231d93cc87fc.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[430, 902, 483, 970];0.0
45;data/roboflow/hammer_3_jpg.rf.d5d45780df9c29adadeb71cb01ef8fff.jpg;[417.8686828613281, 157.65640258789062, 517.2348022460938, 985.3118896484375];grasping area placement on the hammer;[432, 233, 518, 700];0.481906665204954
46;data/roboflow/allen_15_jpg.rf.84eacc06d0a77038d94e690f48ed9b39.jpg;[0.5168914794921875, 380.597412109375, 345.240234375, 613.2769775390625];grasping area placement on the allen key;[143, 380.83000000000004, 855.5, 450];0.12111153475333972
47;data/roboflow/drill_11_jpg.rf.2af05b31d23bbe92e005ce105e1800f0.jpg;[267.5013427734375, 107.46087646484375, 1142.266845703125, 817.9107055664062];index finger placement on the drill;[679, 389.14, 708.28, 467];0.003668262530137293
48;data/roboflow/allen_13_jpg.rf.a0f01b6dde96397f10899cc21473aa0e.jpg;[109.31939697265625, 104.0470199584961, 269.3790588378906, 281.93505859375];grasping area placement on the allen key;[33, 186.25, 119.25, 268];0.023387625050469117
49;data/roboflow/glue_2_jpg.rf.8a15037652e0c691b02a6e546d5a1bbf.jpg;[0.0, 649.71435546875, 0.0, 966.0891723632812];index finger placement on the glue gun;[138, 617.83, 180.5, 767];0.0
50;data/roboflow/wrench_11_jpg.rf.89e651e4fa1e825d7ca9187a175200b6.jpg;[31.87248420715332, 34.953346252441406, 192.25875854492188, 185.57778930664062];grasping area placement on the wrench;[50, 130.93, 117.96, 170];0.1099092206077366
51;data/roboflow/wacker_16_jpg.rf.2147f7f6bf8bb1e498199e5d7b08b40a.jpg;[488.4288024902344, 455.5453186035156, 1510.7255859375, 1143.7978515625];index finger placement on the weed wacker;[935, 788.75, 986.25, 835];0.0033688431728591695
52;data/roboflow/wacker_15_jpg.rf.749dc2f49bd5654fdbe3747de8cf48bb.jpg;[297.2392883300781, 134.5612335205078, 547.1937866210938, 304.65301513671875];index finger placement on the weed wacker;[357, 217.57, 377.71, 229];0.005567779686850673
53;data/roboflow/glue_6_jpg.rf.619ad5b67a361a53be56c8fbfdfc7b12.jpg;[33.314579010009766, 0.18794238567352295, 195.8124542236328, 62.7890510559082];index finger placement on the glue gun;[104, 139.74, 116.96000000000001, 159];0.0
54;data/roboflow/saw_19_jpg.rf.8f47d8dbf342a941d9de7a54cd7d4ef8.jpg;[93.38760375976562, 17.53268814086914, 375.1479797363281, 274.3209533691406];index finger placement on the circular saw;[244, 328.69, 267.12, 334];0.0
55;data/roboflow/drill_6_jpg.rf.3f895b36079933bf8e2e59fbbb0bcc0a.jpg;[265.12689208984375, 166.72647094726562, 1112.016845703125, 829.4168090820312];index finger placement on the drill;[646, 386.85, 661, 459];0.0019283682607214277
56;data/roboflow/hammer_4_jpg.rf.be49520bcdc487c23b0f5cdfc8555d03.jpg;[110.6580810546875, 108.56633758544922, 127.77303314208984, 124.48987579345703];grasping area placement on the hammer;[112, 95.97, 218.48000000000002, 118];0.0602543922556565
57;data/roboflow/allen_6_jpg.rf.e32dab49b55efbfb4ef83c50b633003f.jpg;[105.35028839111328, 56.80615997314453, 290.3051452636719, 411.50384521484375];grasping area placement on the allen key;[102, 336.23, 284.31, 412];0.2042738963236745
58;data/roboflow/nail_1_jpg.rf.ca3b1c00b4cee0fd6983ddacc4edd612.jpg;[134.71568298339844, 90.46804809570312, 752.6417236328125, 576.3380126953125];index finger placement on the nail gun;[335, 254, 364.5, 287];0.0032424956747266584
59;data/roboflow/screwdriver_6_jpg.rf.e8fbf1ef6ec0bca566d011cc989bcbc9.jpg;[335.95147705078125, 308.87322998046875, 1011.8324584960938, 852.1160888671875];grasping area placement on the screwdriver;[545, 148, 898.5699999999999, 448];0.11600364626117798
60;data/roboflow/saw_10_jpg.rf.369ecf7a1cbcd7bee2dd4631e4e7cd77.jpg;[0, 0, 0, 0];index finger placement on the circular saw;[784, 501, 804.62, 541];0.0
61;data/roboflow/solder_18_jpg.rf.f3ae27d2c6d71f6cdae4c97a5da3103e.jpg;[0.19562959671020508, 21.480728149414062, 158.6670379638672, 183.8839874267578];grasping area placement on the solder iron;[44, 96.44, 115.48, 152];0.15431250538420754
62;data/roboflow/wrench_4_jpg.rf.1bc53859ca2ff1f67ea1c393537bae51.jpg;[154.89552307128906, 48.014556884765625, 612.5056762695312, 396.7492980957031];grasping area placement on the wrench;[597, 138.43000000000006, 914.86, 497];0.014859406248451843
63;data/roboflow/wacker_3_jpg.rf.43e9ae0cfc9d836d36e66e0220e97f1f.jpg;[3.2980728149414062, 130.04417419433594, 706.740966796875, 590.6339721679688];index finger placement on the weed wacker;[217, 424.66999999999996, 252.82999999999998, 438];0.001474123252047532
64;data/roboflow/allen_3_jpg.rf.f452a3b83561eb67c6141ea368168648.jpg;[79.59415435791016, 152.61627197265625, 669.0377197265625, 454.6641540527344];grasping area placement on the allen key;[142, 176.5, 555.5, 430];0.5887561430835884
65;data/roboflow/wacker_5_jpg.rf.534ac3f6e093b02ebc610cf9b31141c3.jpg;[7.1885986328125, 509.85394287109375, 190.76197814941406, 679.1026611328125];index finger placement on the weed wacker;[898, 603, 937, 618];0.0
66;data/roboflow/screwdriver_7_jpg.rf.fef662b242509997a0395209c9f8f941.jpg;[171.25914001464844, 12.606873512268066, 207.75201416015625, 93.27045440673828];grasping area placement on the screwdriver;[173, 331.67, 204.34, 383];0.0
67;data/roboflow/hammer_10_jpg.rf.295b81df7c4e3044a1fa86ecb6959009.jpg;[107.75808715820312, 347.1868896484375, 822.3264770507812, 724.8397827148438];grasping area placement on the hammer;[523, 484.66999999999996, 976.3399999999999, 568];0.08823315726211568
68;data/roboflow/wrench_10_jpg.rf.dc0edb1bb8d02dc9c1059b588df7d8f0.jpg;[274.3289794921875, 249.8681640625, 1229.8988037109375, 882.9885864257812];grasping area placement on the wrench;[913, 740, 1244, 980];0.07089914851243831
69;data/roboflow/hammer_18_jpg.rf.dfe188c41f795463dbcc7babd994c330.jpg;[95.24836730957031, 21.51597023010254, 190.47103881835938, 314.7076721191406];grasping area placement on the hammer;[127, 16.33000000000004, 168.32999999999998, 205];0.2695567445422739
70;data/roboflow/screwdriver_5_jpg.rf.575f3ba9ba3035af307fe1c80d0066f1.jpg;[99.92962646484375, 102.27872467041016, 2013.016357421875, 1693.384521484375];grasping area placement on the screwdriver;[1590, 609.5, 2378.75, 932];0.043146197647860166
71;data/roboflow/screwdriver_10_jpg.rf.e90b90d3657072e118d91fa1188f2e8e.jpg;[250.0, 0.0, 250.0, 74.17952728271484];grasping area placement on the screwdriver;[101, 267.78999999999996, 166.70999999999998, 436];0.0
