img_id;img_path;pred_bbox;noun;target_bbox;iou
0;data/roboflow/screwdriver_19_jpg.rf.6250085fa1d7df8666abd0f2a6b03e19.jpg;[0, 0, 0, 0];place for hand to wrap around on the screwdriver;[213, 116, 254.85, 186];0.0
1;data/roboflow/glue_13_jpg.rf.0df8478932e9b34ba87460e9bfd87b01.jpg;[0, 0, 0, 0];place to press with index finger pad on the glue gun;[249, 697.8299999999999, 317.33, 717];0.0
2;data/roboflow/saw_18_jpg.rf.ab0a958d9006ec43edf55d35ca68d3de.jpg;[0.0, 0.0, 622.5679321289062, 477.1755676269531];place to press with index finger pad on the circular saw;[410, 318.82, 425.45, 347];0.0014655631172968578
3;data/roboflow/solder_14_jpg.rf.51572171683d9fb98c4af7058ac33310.jpg;[0.0, 101.3189697265625, 134.31556701660156, 203.0];place for hand to wrap around on the solder iron;[123, 65, 221, 83];0.0
4;data/roboflow/wacker_2_jpg.rf.d87338dbcfe8c38ef9f1aebd1f6c5e62.jpg;[0.0, 123.09358215332031, 140.2147979736328, 369.2036437988281];place to press with index finger pad on the weed wacker;[311, 136.86, 333.86, 149];0.0
5;data/roboflow/wrench_18_jpg.rf.14cf4c6c94b5729b581f65caf6cb8a50.jpg;[0, 0, 0, 0];place for hand to wrap around on the wrench;[329, 158.75, 592.12, 410];0.0
6;data/roboflow/saw_2_jpg.rf.72f9810ddb3e1e20ee87f6da5f52fabb.jpg;[287.45440673828125, 88.2207260131836, 1200.0, 900.0];place to press with index finger pad on the circular saw;[543, 686, 609.4300000000001, 716];0.0026902520813198148
7;data/roboflow/solder_11_jpg.rf.7aa6405f7bb7683bab7f4c9be42ffc63.jpg;[0.0, 0.0, 291.26971435546875, 224.18894958496094];place for hand to wrap around on the solder iron;[364, 212.24, 419.89, 284];0.0
8;data/roboflow/saw_4_jpg.rf.2e854c7822c53ccda24e718afee152d1.jpg;[0.0, 0.0, 887.2559814453125, 998.0369262695312];place to press with index finger pad on the circular saw;[511, 506, 549, 600];0.004033814329297119
9;data/roboflow/screwdriver_15_jpg.rf.8acaf201eba6395a5242d168d1a5a978.jpg;[0, 0, 0, 0];place for hand to wrap around on the screwdriver;[864, 251, 1064, 426];0.0
10;data/roboflow/allen_9_jpg.rf.df991db918e51a8a83d037dfcec94b82.jpg;[190.60037231445312, 0.0, 504.0299072265625, 171.8951873779297];place for hand to wrap around on the allen key;[271, 223.33000000000004, 426.83000000000004, 425];0.0
11;data/roboflow/glue_7_jpg.rf.5bb8f616e9372edbbeddb27fc765e336.jpg;[0, 0, 0, 0];place to press with index finger pad on the glue gun;[331, 142.06, 343.19, 178];0.0
12;data/roboflow/drill_12_jpg.rf.86686d019ed7cf722ad3d8a677027769.jpg;[0, 0, 0, 0];place to press with index finger pad on the drill;[114, 82.51, 125.62, 89];0.0
13;data/roboflow/screwdriver_18_jpg.rf.4beea6c8b01da09b5e98e8265415572f.jpg;[0, 0, 0, 0];place for hand to wrap around on the screwdriver;[532, 108, 686, 505];0.0
14;data/roboflow/drill_0_jpg.rf.212ff2df5d728e39f939fd1dd4bcbb12.jpg;[0, 0, 0, 0];place to press with index finger pad on the drill;[524, 379.37, 635.88, 435];0.0
15;data/roboflow/nail_9_jpg.rf.3942bd693506149a09dec087470d9cb5.jpg;[0.0, 211.57142639160156, 470.8793640136719, 480.0];place to press with index finger pad on the nail gun;[317, 209.62, 335.85, 235];0.003492950495234879
16;data/roboflow/glue_9_jpg.rf.7b6a82df2f4c1b116a5e2bdd2cfe3c15.jpg;[0, 0, 0, 0];place to press with index finger pad on the glue gun;[79, 98.27, 92.97, 109];0.0
17;data/roboflow/drill_16_jpg.rf.cadd6d5497ef2a4c016c9832375a457c.jpg;[0, 0, 0, 0];place to press with index finger pad on the drill;[283, 395, 316.89, 440];0.0
18;data/roboflow/nail_5_jpg.rf.ca1eee2f9c7757408ee343df35fc1ea6.jpg;[0.0, 0.0, 330.91278076171875, 320.0];place to press with index finger pad on the nail gun;[227, 183.37, 252, 206];0.005342703131412339
19;data/roboflow/nail_7_jpg.rf.3e0076daeb458ae570dbf132f6fdfe7d.jpg;[498.556640625, 102.10983276367188, 1280.0, 720.0];place to press with index finger pad on the nail gun;[530, 314.75, 561.88, 361];0.0030536640812062034
20;data/roboflow/nail_14_jpg.rf.150a2f2104fc95ae39d31e17eaa03196.jpg;[0.0, 238.21212768554688, 1007.2356567382812, 1200.0];place to press with index finger pad on the nail gun;[589, 424, 610, 509];0.0018425862766497632
